12240	386365617	219619255	238868593	219619255
12304	390319042	221916046	241275320	221916046
12368	394293322	224225092	46129353	25756455
12432	398286878	226545866	246125438	226545866
12496	402300579	228878543	46859889	26268456
12560	202538764	26526445	47227331	26526445
12624	204494426	26785455	253489846	233579781
12688	206459211	27045904	47965484	27045904
12752	208838567	27306125	258864751	238327461
12816	210824150	27568896	49115691	27568896
12880	212819841	27833331	263887923	243124554
12944	214824293	28098607	49869102	28098607
13008	218067605	28774021	268958078	247969173
13072	220096906	29043959	271510988	250409327
13136	444275035	252860306	274389113	252860306
13200	448618447	255324077	277072871	255324077
13264	226662085	29859863	53460444	29859863
