12240	415132970	231572342	269949732	231572342
12304	419291549	233989314	272585427	233989314
12368	423862053	236416467	275625427	236416467
12432	428064396	238858905	278289150	238858905
12496	432286922	241313680	280965120	241313680
12560	436530635	243780998	283653965	243780998
12624	440796146	246261146	286357180	246261146
12688	445080664	248753666	289071478	248753666
12752	449788313	251255847	292200789	251255847
12816	454116645	253773278	294942493	253773278
12880	458466867	256303594	297698685	256303594
12944	462836384	258846344	300466014	258846344
13008	468638150	261596118	304667608	261596118
13072	473265259	264163116	307676315	264163116
13136	478016439	266742208	310801727	266742208
13200	482582112	269335292	313733511	269335292
13264	487483830	271938989	316993341	271938989
