704	115.110923	360456543	62347	108.629852	22438372	62393
708	117.477594	400038840	63054	109.671200	22842850	63100
712	118.556738	406852886	63764	112.446438	23228039	63811
716	121.307548	413994833	64480	114.826680	23618957	64527
720	122.074687	420456283	65198	118.558169	24012076	65245
724	123.863049	427759142	65921	116.557084	24410997	65968
728	126.525150	434883560	66647	119.173920	24813578	66695
732	128.677483	441283989	67379	123.052184	25220657	67427
736	131.234538	424568876	68113	122.230859	25616227	68161
740	132.032205	456731316	68852	125.416071	26049320	68900
744	136.098863	464173018	69594	127.890603	26469677	69643
748	136.132877	471969261	70342	128.556542	26896019	70391
752	137.986511	479018687	71092	131.364871	27324658	71141
756	141.210565	486983010	71847	135.359715	27759355	71896
760	145.170743	494748908	72605	136.994049	28197872	72655
764	146.738049	502883051	73369	137.741817	28642502	73419
768	148.526467	456836145	74135	139.861494	29055093	74185
