16000000	1.11446 0.146291 0.112914 0.0859028 0.0828387 0.0651645
52400000	0.972591 0.102581 0.0780002 0.048277 0.0416911 0.0293867
88800000	1.01285 0.104125 0.0792421 0.0582129 0.0506497 0.0400171
125200000	0.98709 0.101362 0.0716071 0.0602353 0.0433957 0.0435865
161600000	1.0117 0.105292 0.0723469 0.0536139 0.0447507 0.0375149
198000000	0.97936 0.0987286 0.0700293 0.0569315 0.0442774 0.0358834
234400000	1.01069 0.10372 0.0688513 0.0531972 0.0449641 0.0388003
270800000	0.995845 0.0990941 0.0732196 0.0531895 0.042855 0.0388827
307200000	0.974372 0.108334 0.0700996 0.0507458 0.0408323 0.0356122
343600000	0.980911 0.10235 0.0694606 0.0544884 0.0452194 0.0364695
380000000	0.999274 0.110854 0.0690588 0.0526355 0.0484731 0.0369749
