278080000	1.67731	3.70972 4.0683 4.45216 4.80006 5.11598 3.11392
281720000	1.6721	3.81672 4.1576 4.47634 4.78338 5.08592 3.13768
285360000	1.71327	3.872 4.18374 4.53396 4.82608 5.22046 3.1903
289000000	1.71683	4.0221 4.25618 4.58258 4.98882 5.27692 3.20288
292640000	1.76451	4.02402 4.3119 4.67436 4.96628 5.29346 3.25272
296280000	1.77347	4.06114 4.42702 4.74 4.9864 3.08302 2.051
299920000	1.83483	4.0683 4.45216 4.80006 5.11598 3.11392 2.1085
303560000	1.8104	4.1576 4.47634 4.78338 5.08592 3.13768 2.08222
307200000	1.83848	4.18374 4.53396 4.82608 5.22046 3.1903 2.12686
310840000	1.88251	4.25618 4.58258 4.98882 5.27692 3.20288 2.1492
314480000	1.90522	4.3119 4.67436 4.96628 5.29346 3.25272 2.15932
318120000	1.91446	4.42702 4.74 4.9864 3.08302 2.051 1.36387
321760000	1.94676	4.45216 4.80006 5.11598 3.11392 2.1085 1.37294
325400000	1.97667	4.47634 4.78338 5.08592 3.13768 2.08222 1.39868
329040000	1.97453	4.53396 4.82608 5.22046 3.1903 2.12686 1.39943
332680000	1.99326	4.58258 4.98882 5.27692 3.20288 2.1492 1.41742
336320000	2.01652	4.67436 4.96628 5.29346 3.25272 2.15932 1.42373
339960000	2.04114	4.74 4.9864 3.08302 2.051 1.36387 0.82636
343600000	2.0486	4.80006 5.11598 3.11392 2.1085 1.37294 0.850626
347240000	2.06328	4.78338 5.08592 3.13768 2.08222 1.39868 0.849842
350880000	2.10866	4.82608 5.22046 3.1903 2.12686 1.39943 0.85568
354520000	2.1513	4.98882 5.27692 3.20288 2.1492 1.41742 0.86557
358160000	2.18354	4.96628 5.29346 3.25272 2.15932 1.42373 0.887118
361800000	2.17258	4.9864 3.08302 2.051 1.36387 0.82636 0.382816
365440000	2.23768	5.11598 3.11392 2.1085 1.37294 0.850626 0.407954
369080000	2.16706	5.08592 3.13768 2.08222 1.39868 0.849842 0.39725
372720000	2.22924	5.22046 3.1903 2.12686 1.39943 0.85568 0.411072
376360000	2.23958	5.27692 3.20288 2.1492 1.41742 0.86557 0.401948
380000000	2.31044	5.29346 3.25272 2.15932 1.42373 0.887118 0.40921
