12240	748513079	250760581	607902321	250760581
12304	756050427	253370625	613964389	253370625
12368	764010648	255988866	620442310	255988866
12432	771625833	258625882	626566407	258625882
12496	780620232	261450371	634069779	261450371
12560	788515119	264112346	640458221	264112346
12624	796546261	266786786	646976318	266786786
12688	804419491	269477284	653328089	269477284
12752	812432157	272177177	659812307	272177177
12816	820283956	274896125	666127277	274896125
12880	828574592	277623031	672874094	277623031
12944	836504235	280368952	679251084	280368952
13008	845868055	283309436	687062630	283309436
13072	854085461	286080187	693712026	286080187
13136	862443025	288863360	700495026	288863360
13200	870634651	291662679	707103644	291662679
13264	878969797	294471257	713848823	294471257
